article_id,Year,Type,Keywords**,Title,Authors,First Author,Retrieved,Analysis Theme,LLMs Used,Sample Size of Personas/Profiles,Human Participants?, Statistical Methods Used,Effect of Personas on LLM Output,Summary of Results,Prompt Architecture/Methodology,Research Questions,Review Research Question      
A11,2025,Evaluation of persona simulation and implementation,"LLM personal writing tools, imitation of writing style, in-context learning, generative writing",Catch Me If You Can? Not Yet: LLMs Still Struggle to Imitate the Implicit Writing Styles of Everyday Authors,"Zhengxiang Wang, Nafis Irtiza Tripto, Solha Park, Zhenzhen Li, Jiawei Zhou",Wang,Y,mixed,"GPT-4o, GPT-4o-mini, DeepSeekV3-671B-MoE, LLaMa-4-Maverick-400B,Gemma-3-27B, Gemini 2.0-Flash",,N,"ROUGE, METEOR metrics, style model accuracy, human detection rates, Authorship Verification (AV), SBERT",Negative,The paper found that prompt design affects stylistic fidelity but doesn't close the personalization gap. LLM-generated texts are consistently detected as AI-generated. LLM generation struggles  to personalize in long-form writing like blogs and forums. ,"There are templates for test sample summarization and few-shot prompting. The summarization uses GPT-4.1, and the prompting involves content similarity and length control.",Not specified,persona effects on LLM/agent output
A12,2025,Novel method or framework for persona implementation,"Large Language Models, Multi-Agent Systems, Game Theory, Collaborative Reasoning, Persona-Based Agents",CollabPersona: A Framework for Collaborative Decision Analysis in Persona Driven LLM-Based Multi-Agent Systems,Onat Arda Tamer and Abdurrahman Gümüş,Tamer,Y,quantitative,Qwen2.5-32B,,N,"Win rate as a metric for competitive performance.
Intra-team standard deviation (ITSD) to measure coordination.
Bid stability metrics (bid dispersion, bid range).
Significance tests (e.g., p < 0.05) for comparing team performance across scenarios.",Mixed,"Our experiments yield three key findings: (i) One-shot feedback significantly reduces intra-team variance and stabilizes volatile bidding behavior, suggesting LLMs can incorporate sparse social signals. (ii) Bid stability metrics show that feedback acts as a soft behavioral regularizer—encouraging consistent strategies without overriding persona-driven tendencies. (iii) Despite improved coordination, win-rate hierarchies largely reflect cognitive styles, indicating that collaboration alone does not override intrinsic strategic dispositions. One-shot feedback significantly reduces intra-team variance and stabilizes bids.
Logical/methodical personas outperformed intuitive/risk-tolerant ones in win rates.
Feedback improves coordination but may reduce competitive sharpness in tasks requiring precise deviation anchoring.
Personas drive strategic tendencies, with cognitive styles (e.g., analytical vs. impulsive) shaping outcomes.","System prompts defining game rules and personas.
Structured prompting for bid generation and feedback.
Natural language feedback injected into the prompt during decision-making.",Not specified,1 and 2
A13,2025,Evaluation of persona simulation and implementation,"Large language models, partisan bias, biased LLMs, AI ethics",Biased LLMs can Influence Political Decision-Making,"Jillian Fisher, Shangbin Feng, Robert Aron, Thomas Richardson, Yejin Choi, Daniel W. Fisher, Jennifer Pan, Yulia Tsvetkov, Katharina Reinecke",Fisher,Y,mixed,GPT-3.5-Turbo,3,"Y, N=299 total (150 Republicans, 149 Democrats; 1 excluded from original 300)","The paper uses ordinal logistic regression for opinion changes, ANOVA for budget allocation, t-tests, and Dunnett post-hoc tests. Also mentions power analysis.",Positive,"the study examines how partisan bias (politically charged personas) in LLMs (liberal, conservative, neutral) influences participants’ political opinions and decisions, addressing how personas (model biases) shape outputs. Participants changed opinions and budgets to align with model bias, even when their own stance was opposite. Prior AI knowledge slightly mitigated the effect. Bias detection didn't reduce impact. The LLMs used different framing techniques.","The paper describes using prefixes like ""Respond as a radical left U.S. Democrat...""","Can exposure to
partisan-biased LLMs shift participants' political opinions and
decision-making?",1 and 2
A14,2025,Novel method or framework for persona implementation,"Requirements Engineering, Data-driven Personas, Large Language Models, Knowledge Graphs, Continous Persona Generation",Continuous Data-driven Personas Generation: An LLM-based Knowledge Graph Approach,"Ryota Sugiyama, Hironori Washizaki, Naoyasu Ubayashi, Ryoko Tanahashi, Mai Hirabayashi, Satoshi Okuda, Ken Toriumi.",Sugiyama,Y,mixed,"GPT-4o, GPT-4o-mini, Other",2,N,"Cosine similarity to compare dialogue segments and evaluate retrieval accuracy.
K-means clustering for baseline comparison.
Tscore/Bscore metrics (based on cosine similarity scores) to assess QA task performance.",Positive,"Focuses on persona generation and their role in structuring user requirements, not on evaluating LLMs’ performance as evaluators. The LLM-based KG approach outperformed traditional clustering in 86% of cases during the QA task. Personas revealed user pain points and enabled clearer identification of system features, improving development decisions. The method supports continuous persona updates and traceable analysis, addressing limitations of existing approaches.","A conceptual model for KG construction (e.g., defining nodes, edges, and label domains).
Prompts with examples for content extraction (e.g., ""Situation → Question → Answer"" patterns).
Input queries like: ""The user is in a situation where the system is locked.""","RQ1: How does knowledge graph
construction affect persona generation quality? RQ2: What are the strengths
and challenges of persona generation using LLMs and KGs?",persona effects on LLM/agent output
A15,2025,Novel method or framework for persona implementation,"Collaboration, Delphi, LLM, Persona, Knowledge Management, Text Mining",Towards a Knowledge Management Framework for LLM-Generated Personas in Collaborative Systems,"Lucas Nóbrega, Luiz Felipe Martinez, Yuri Lima, Carlos Eduardo Barbosa, Matheus Argolo, Herbert Salazar, Geraldo Xexêo, and Jano Moreira de Souza",Nobrega,Y,quantitative,Other,14,N,"Text similarity analysis: Cosine similarity between document vectors of simulated and real opinions.
Keyword similarity analysis: Cosine similarity between keyword sets extracted from opinions.
Descriptive statistics: Means, standard deviations, percentiles, minimums, and maximums for similarity scores (Table I and II).",Positive,"The results of our similarity analysis indicate that LLM-generated personas can closely align with genuine expert opinions on the future of higher education in Brazil. We could quantify these simulated personas’ semantic and thematic accuracy by applying both text and keyword similarity measures. The text similarity scores, ranging from 0.702 to 0.868, and keyword similarity values from 0.728 to 0.922, highlight the considerable alignment between the LLM-generated responses and those of real experts. These findings demonstrate the promising capability of LLMs to accurately emulate expert perspectives, underscoring the potential of AI-driven personas as reliable contributors in collaborative frameworks such as Delphi studies.","The paper mentions using prompt engineering to configure LLMs to emulate experts. Specific prompts are not detailed, but the Delphi process involved questions about future scenarios in Brazilian higher education.
The Iconic Minds model was used to simulate responses from well-known personalities, with prompts designed to reflect their real opinions.",Not specified,1 and 2
A16,2025,Evaluation of persona simulation and implementation,"Recommendation Systems, Large Language Model, Big Five Personality Inventory, Knowledge-Augmented Recommendation",Exploring the Impact of Large Language Model-Simulated Personalities on Recommendation,"Zining Feng, Zijing Wang, Hongzan Mao, Baisong Liu",Feng,Y,quantitative,Other,,N,"Raw performance comparisons
",Positive,"“Our experimental results demonstrate that, within the Knowledge-Augmented Recommendation (KAR) framework, LLM-simulated personalities significantly influence recommendation performance. Specifically, we observe that LLM-simulated personalities tend to enhance recommendation when LLM-simulated personalities align with user personalities, particularly in terms of metrics such as MAP@K and NDCG@K. This improvement is especially pronounced for users with Self-Centered and Role Model personalities, which can be attributed to their stronger expressive tendencies. Reviews from these users often contain more personal characteristics, enabling LLMs to better understand user interests and uncover latent preferences. Additionally, the Role Model personality exhibits a stronger attraction to various LLM-simulated personalities, likely due to its prominent and well-defined traits. In contrast, SelfCentered and Reserved personalities, lacking such dominant traits, are less effective in capturing the attention of LLMsimulated personalities. This alignment mirrors the Social Homophily Theory, suggesting that LLMs can effectively simulate human-like preference behaviors in recommendation scenarios.”","The paper describes a ""PERSONALITY PROMPTING (P2)"" method, which uses prompt engineering to induce LLMs to simulate specific personalities based on the Big Five Traits. Specific prompt examples are not detailed but involve instructing LLMs to generate user profiles aligned with personality traits.","RQ1: Does inducing LLMs to simulate personalities in  the KAR framework significantly affect the performance of the recommendation system? • RQ2: In LLMRec, do LLM-simulated personalities exhibit behaviors consistent with the Social Homophily Theory, and how do these behaviors influence recommendation performance when interacting with users of similar personality traits?",1 and 2
A17,2025,Literature Review,"Large Language Models, Personality Traits, Chatbot, Literature Review, Socialize Agent, Comparisons of Personality Shaping Methods",A Review on Shaping Chatbot Personalities via Large Language Models,"Chang, T. and Hung, S. and Chen, Y. and Chang, N. and Ku, C. H. and Lin, S. Y. and Chien, S. Y. J.",Chang,Y,qualitative,N/A,,N,N/A,Mixed,"‘Prompt engineering offers flexibility and simplicity but also presents challenges. For example, the lack of explicit prompt examples can lead to inconsistent model outputs, especially in complex scenarios.  Fine-tuning is an effective method for aligning LLM outputs with specific personality profiles. By adjusting parameters and training on personalityannotated datasets, fine-tuning can significantly enhance the personalization of user interactions. However, the risk of overfitting poses a significant drawback. Overfitting can make the model too rigidly aligned with a specific personality, reinforcing biases or stereotypes and potentially alienating users who do not resonate with this fixed personality. Unsupervised machine learning methods provide flexibility in shaping LLM personalities without direct human annotation. However, this flexibility often comes at the cost of precision. These methods may capture unintended correlations or noise within the data, leading to imprecise representations of personality traits. Knowledge editing allows targeted adjustments to a model’s knowledge base to align with desired personality traits while maintaining overall model performance. However, this method faces limitations, such as the difficulty in accurately editing certain personality traits and the uncertainty of manipulation effects when using models with a large number of parameters (e.g., over 10B parameters). Ethical concerns also arise, particularly regarding the potential occurrence of offensive language or discriminatory content, which may not be fully avoided through this method.’","Personality conditioned prompting: Incorporates big 5 traits (e.g., agreeableness, assertiveness) into prompts. Historical figure discussions: Prompts simulate dialogues with historical personalities (e.g., Alexander the Great). Role-based prompts: Tie personality to professional roles (e.g., doctors, teachers).","RQ1: What are the existing methods for shaping the personalities of LLMs?
RQ2: What conditions are best suited for different personality-shaping methods, and how do they affect users?
RQ3: How can the effectiveness of personality shaping in LLMs be evaluated?",persona effects on LLM/agent output
A18,2025,Evaluation of persona simulation and implementation,"Generative Pre-trained Transformer, Large Language Model (LLM), Conversational agent, Dialogue, Character animation, Big Five Personality Inventory",Effects of Embodiment and Personality in LLM-Based Conversational Agents,"Sinan Sonlu 
Bennie Bendiksen
Funda Durupinar
Uğur Güdükbay",Sonlu,Y,quantitative,GPT-3.5-Turbo,3,"Y, N=210 (99 F, 95 M, 16 Unspecified)","Two-way ANOVA: To assess effects of model type and personality style on learning outcomes, quality, and engagement. Welch’s ANOVA: Due to unequal variances across groups. Correlation Analysis: Spearman correlations between perceived personality traits and learning outcomes. Multiple Testing Corrections: Hommel method for controlling familywise error rate (p < 0.05).",Positive,"The results indicate that the whole experience was rated favorably regardless of the model choice. Participants judged the agents as high in openness, conscientiousness, extraversion, agreeableness, and emotional stability. However, the degree of positive perception was lower in low-trait personality styles than in hightrait ones. Although the engagement score was higher for the embodied agent with expressive animations, we found no significant differences across the models for other learning outcomes. We found no statistically significant effect of model type on perceived personality.","```text
Act as an extraverted teacher teaching about <topic>, give friendly and polite answers. 
Act as an introverted teacher teaching about <topic>, give short and unfriendly answers.
``` These prompts tailored the LLM’s dialogue style based on personality traits (high vs. low extraversion/agreeableness).","RQ1. Is there an effect of personality style on perceived personality? RQ2. Is there an effect of model type on perceived personality? RQ3. Is there an effect of model type on learning outcomes, i.e., assessment of the agent as a learning object? RQ4. Is there a correlation between learning outcomes and personality perception?",1 and 2
A19,2024,Evaluation of persona simulation and implementation,"Large Language Model, Personality Traits, Query Generation, Big Five Personality Inventory",Effect of LLM's Personality Traits on Query Generation,"Yuta Imasaka, Hideo Joho",Imasaka,Y,quantitative,GPT-4o,5,"N (the 75 participants cited are from Al-Samarraie et al., a referenced prior study; this paper uses automated IR evaluation only)","Two-sided t-test with Bonferroni correction to compare baseline vs. trait-assigning groups.
Metrics: Mean Reciprocal Rank (MRR), normalized Discounted Cumulative Gain (nDCG@10, nDCG@1000).
Jaccard index for query similarity analysis.",Mixed,"In the first experiment, we introduced a new prompt method to accurately assign the five personality traits from the Big Five theory to LLM agents, verifying its effectiveness using the IPIP-NEO-120 scale. While no significant differences in retrieval performance were observed among different personality traits, the impact of LLM agents varied across test collections. Further research is needed to explore the potential of LLM personality traits in enhancing search performance. Nonetheless, our study indicates that researchers can leverage personality traits to influence other aspects of LLM applications, such as expressing information needs, without significantly altering retrieval performance.","""You are a character who is extroverted.""
""You are a character who is agreeable.""
Baseline prompt: ""You are a character who does not have any particular personality.""","RQ1: How can we assign personality
traits
to LLM agents based on Big Five theory? RQ2: How do personality traits
affect LLM agent query generation behavior? RQ3: How do personality traits
affect retrieval effectiveness?",1 and 2
A20,2024,Novel method or framework for persona implementation,"HCI theory, concepts and models, Natural language interfaces, Personality Traits, Conversational Agents, Human-Chatbot Interaction, Big Five Personality Inventory",Chatbots with Attitude: Enhancing Chatbot Interactions Through Dynamic Personality Infusion,"Nikola Kovacevic, Tobias Boschung, Christian Holz, Markus Gross, Rafael Wampfler",Kovacevic,Y,mixed,"GPT-3.5, Mistral 7B, LLaMa-2 13B",3,"Y, N=758 total (n=33 interaction study; n=725 rating study)","Inter-rater agreement (Krippendorf’s Alpha: 0.44).
Correlation analysis (Spearman rank correlations between trait intensities and rating accuracy).
Descriptive statistics (means, standard deviations, frequency counts), Independent t-tests and Bonferroni alpha correction, 00A/3CA rating metrics",Positive,"‘Our analysis showed that the proposed personality infusion method is efective in authentically controlling the chatbot personality with a one-of accuracy of up to 72% on a 5-point Likert scale. Furthermore, we found strong inter-trait relationships that infuence the rating accuracy, revealing implicit correlations in the underlying personality model. Our results indicate consistent personality trait preferences across different chatbot roles, with the most enjoyable, conversational, and trustworthy personality profle corresponding to a highly vibrant, conscientious, civil, non-artif’cial, and non-neurotic personality.","Personality model (5 traits: vibrancy, conscientiousness, civility, artifciality, neuroticism).
Intensity scale (-2 to +2 for each trait).
Conversation history.
(See Table 3 in the paper.)","No formal RQs. Contributions: Does dynamic personality infusion successfully convey target personality
traits? (2) How does personality infusion affect perceived trustworthiness?
(3) Which personality profiles are most suitable for specific real-world
chatbot use cases (education, healthcare, entertainment)?",1 and 2
A21,2024,Novel method or framework for persona implementation,persona-based dialogue; long-term conversation; persona memory; low cost; data transformation,Persona-Identified Chatbot through Small-Scale Modeling and Data Transformation,"Bitna Keum, Juoh Sun, Woojin Lee, Seongheum Park, and Harksoo Kim",Keum,Y,mixed,"GPT-3.5-turbo-1106, LLaMa-2-7B","30,000",N (CC2PC framework is specifically designed to replace human annotation; no human annotators used),"BLEU, PPL, DIST-2, BERTScore",Positive,"Adopting a retrieval-free approach and a bi-encoder structure, inference can be faster and lighter by pre-encoding memory instances. The experimental results demonstrate that our proposed model effectively generates responses and exhibits strengths even in long-term conversations. Reducing the components of the model does not proportionally degrade its performance.","A specific prompt for evaluating responses based on Consistency, Fluency, and Engagingness (see Section 4.5).","RQ1: How to transform chit-chat data into persona-based chat datasets?
RQ2: How do personas affect LLM response generation?
RQ3: Can models effectively incorporate personas without relying on retrieval models?",1 and 2
A22,2024,Evaluation of persona simulation and implementation,"Persona-LLMs,  human factors, personified LLMs, explicit-implicit personification",Modeling Human Subjectivity in LLMs Using Explicit and Implicit Human Factors in Personas,"Salvatore Giorgi, Tingting Liu, Ankit Aich, Kelsey Isman, Garrick Sherman, Zachary Fried, João Sedoc, Lyle H. Ungar, and Brenda Curtis",Giorgi,Y,quantitative,GPT-4o,641,"Y, Mturk study n=641","Product moment correlations for continuous variables (age).
Cohen’s d for binary factors (e.g., gender, race).
Benjamini–Hochberg correction for multiple comparisons.
Logistic regression for significance testing.
LIWC and Moral Foundations lexicon for linguistic analysis.
Correlation matrices and word cloud visualization.",Negative,"Results showed that (1) explicit but not implicit personas replicated human perceptions in the annotation task, (2) explicit personas were sometimes able to generate text which reflected subjective human opinions, and (3) implicit personas showed a general lack of agreement with explicit personas and, more importantly, known human perceptions. Together, these results show that, despite showing minimal implicit biases, LLMs are inconsistent with their mechanisms for reproducing human thought, pointing towards limited utility in social scientific tasks.","Explicit prompts: ""You are a 78-year-old female,"" ""You are politically conservative.""
Implicit prompts: Names tied to demographics (""Your name is Ethel"") or cultural cues (e.g., ""You play video games"").","RQ1: Do personified LLMs replicate known human perception and belief patterns?
RQ2: How do explicit/implicit personas influence LLM output across domains (e.g., age, gender, political ideology)?
RQ3: Which human factors are most critical in shaping LLM responses?",1 and 2
